x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, sensor, nis, RMSE_x, RMSE_y, RMSE_vx, RMSE_vy
20.1017, 13.9878, -0.9280, 4.7237, 20.1499, 14.0053, -1.0211, 4.7057, R, 0.7708, 0.0547, 0.0978, 0.6487, 0.3626
20.0521, 14.2233, -1.0549, 4.6952, 20.0934, 14.2624, -1.1691, 4.7146, L, 0.3567, 0.0546, 0.0974, 0.6459, 0.3609
19.9962, 14.4573, -1.1812, 4.6633, 20.0217, 14.4918, -1.3082, 4.6758, R, 1.3494, 0.0544, 0.0971, 0.6431, 0.3593
19.9340, 14.6897, -1.3069, 4.6280, 19.9103, 14.7502, -1.5391, 4.6758, L, 1.0374, 0.0542, 0.0968, 0.6406, 0.3578
19.8655, 14.9202, -1.4318, 4.5894, 19.8457, 14.9674, -1.5819, 4.6341, R, 3.4350, 0.0540, 0.0965, 0.6380, 0.3562
19.7908, 15.1486, -1.5558, 4.5475, 19.8210, 15.1796, -1.5830, 4.5645, L, 2.2954, 0.0538, 0.0961, 0.6352, 0.3547
19.7099, 15.3749, -1.6789, 4.5023, 19.6873, 15.3865, -1.9681, 4.3647, R, 7.5094, 0.0536, 0.0957, 0.6330, 0.3534
19.6229, 15.5989, -1.8008, 4.4537, 19.6639, 15.5653, -1.9411, 4.2468, L, 3.6558, 0.0535, 0.0953, 0.6305, 0.3524
19.5298, 15.8203, -1.9216, 4.4019, 19.5751, 15.7668, -2.0251, 4.1842, R, 1.3723, 0.0535, 0.0951, 0.6279, 0.3514
19.4307, 16.0390, -2.0411, 4.3469, 19.4689, 15.9824, -2.1598, 4.1339, L, 0.0446, 0.0534, 0.0948, 0.6253, 0.3505
19.3257, 16.2549, -2.1592, 4.2887, 19.3712, 16.1891, -2.1951, 4.1152, R, 1.9084, 0.0533, 0.0946, 0.6227, 0.3494
19.2148, 16.4679, -2.2759, 4.2273, 19.2630, 16.3656, -2.2908, 4.0047, L, 0.5277, 0.0533, 0.0947, 0.6201, 0.3485
19.0981, 16.6777, -2.3909, 4.1628, 19.1478, 16.5594, -2.4027, 3.9268, R, 0.2482, 0.0532, 0.0949, 0.6176, 0.3478
18.9757, 16.8841, -2.5042, 4.0953, 19.0135, 16.7756, -2.5424, 3.8935, L, 0.2484, 0.0531, 0.0950, 0.6151, 0.3468
18.8477, 17.0872, -2.6157, 4.0248, 18.8553, 16.9669, -2.8158, 3.7226, R, 6.3535, 0.0529, 0.0952, 0.6129, 0.3465
18.7142, 17.2866, -2.7253, 3.9513, 18.6717, 17.2122, -3.0405, 3.7225, L, 2.0130, 0.0529, 0.0951, 0.6110, 0.3457
18.5752, 17.4822, -2.8330, 3.8749, 18.5749, 17.4166, -2.8983, 3.7913, R, 6.1807, 0.0526, 0.0949, 0.6086, 0.3444
18.4309, 17.6740, -2.9386, 3.7957, 18.3557, 17.6158, -3.1377, 3.7199, L, 3.8063, 0.0529, 0.0946, 0.6065, 0.3431
18.2814, 17.8617, -3.0420, 3.7137, 18.2188, 17.8090, -3.1200, 3.7215, R, 1.9568, 0.0529, 0.0944, 0.6042, 0.3418
18.1268, 18.0453, -3.1432, 3.6291, 18.0917, 17.9946, -3.1471, 3.6561, L, 0.8992, 0.0528, 0.0941, 0.6018, 0.3405
17.9671, 18.2246, -3.2420, 3.5418, 17.9153, 18.1461, -3.3110, 3.4721, R, 2.3416, 0.0528, 0.0940, 0.5995, 0.3392
17.8026, 18.3994, -3.3385, 3.4520, 17.7915, 18.2836, -3.3076, 3.3330, L, 1.0432, 0.0526, 0.0942, 0.5972, 0.3381
17.6334, 18.5697, -3.4325, 3.3597, 17.6606, 18.4622, -3.3094, 3.2961, R, 6.4722, 0.0525, 0.0943, 0.5951, 0.3368
17.4595, 18.7353, -3.5239, 3.2651, 17.4615, 18.6506, -3.4541, 3.2565, L, 0.5597, 0.0523, 0.0942, 0.5929, 0.3356
17.2810, 18.8962, -3.6127, 3.1682, 17.2817, 18.7890, -3.5642, 3.1007, R, 1.8775, 0.0521, 0.0943, 0.5907, 0.3344
17.0983, 19.0521, -3.6988, 3.0690, 17.1236, 18.9238, -3.5974, 2.9796, L, 0.2666, 0.0519, 0.0946, 0.5885, 0.3332
16.9113, 19.2030, -3.7822, 2.9678, 16.9563, 19.0943, -3.6394, 2.9468, R, 2.9632, 0.0519, 0.0948, 0.5865, 0.3320
16.7201, 19.3488, -3.8628, 2.8646, 16.7377, 19.2119, -3.7677, 2.7989, L, 2.7860, 0.0517, 0.0951, 0.5844, 0.3308
16.5251, 19.4894, -3.9405, 2.7594, 16.5458, 19.3661, -3.8620, 2.7150, R, 3.2671, 0.0516, 0.0954, 0.5823, 0.3296
16.3262, 19.6246, -4.0153, 2.6524, 16.3140, 19.5335, -4.0099, 2.6683, L, 0.8553, 0.0514, 0.0953, 0.5802, 0.3285
16.1237, 19.7545, -4.0872, 2.5436, 16.0918, 19.6144, -4.1308, 2.4242, R, 10.1133, 0.0513, 0.0957, 0.5782, 0.3274
15.9176, 19.8789, -4.1560, 2.4333, 15.8840, 19.7597, -4.2074, 2.3551, L, 0.7499, 0.0512, 0.0959, 0.5761, 0.3263
15.7082, 19.9978, -4.2218, 2.3214, 15.6978, 19.8843, -4.1639, 2.3398, R, 3.1982, 0.0510, 0.0960, 0.5741, 0.3252
15.4956, 20.1110, -4.2846, 2.2081, 15.4616, 20.0426, -4.2804, 2.3159, L, 1.2291, 0.0509, 0.0959, 0.5721, 0.3242
15.2799, 20.2185, -4.3443, 2.0935, 15.2452, 20.1880, -4.3345, 2.2898, R, 5.5202, 0.0508, 0.0956, 0.5701, 0.3235
15.0613, 20.3203, -4.4008, 1.9776, 15.0614, 20.3176, -4.3281, 2.2298, L, 1.8309, 0.0506, 0.0953, 0.5682, 0.3230
14.8400, 20.4162, -4.4542, 1.8607, 14.8297, 20.3991, -4.4171, 2.0455, R, 2.2657, 0.0505, 0.0949, 0.5662, 0.3223
14.6161, 20.5063, -4.5044, 1.7427, 14.6151, 20.5180, -4.4572, 1.9771, L, 0.5783, 0.0503, 0.0946, 0.5643, 0.3218
14.3897, 20.5904, -4.5515, 1.6239, 14.3752, 20.6061, -4.5598, 1.8059, R, 1.2781, 0.0501, 0.0943, 0.5624, 0.3210
14.1611, 20.6686, -4.5954, 1.5042, 14.1291, 20.6787, -4.6308, 1.6568, L, 0.7102, 0.0500, 0.0940, 0.5605, 0.3202
13.9304, 20.7408, -4.6361, 1.3839, 13.8902, 20.7511, -4.7025, 1.4856, R, 0.2930, 0.0500, 0.0937, 0.5587, 0.3192
13.6977, 20.8070, -4.6736, 1.2629, 13.6128, 20.8147, -4.8129, 1.3323, L, 1.5743, 0.0503, 0.0934, 0.5569, 0.3182
13.4632, 20.8671, -4.7079, 1.1415, 13.3637, 20.8458, -4.8920, 1.0538, R, 2.0118, 0.0508, 0.0931, 0.5553, 0.3173
13.2271, 20.9211, -4.7390, 1.0197, 13.1200, 20.8820, -4.9143, 0.8753, L, 0.1590, 0.0513, 0.0928, 0.5537, 0.3164
12.9895, 20.9690, -4.7670, 0.8977, 12.8889, 20.9421, -4.9092, 0.7851, R, 1.9121, 0.0518, 0.0926, 0.5520, 0.3155
12.7506, 21.0108, -4.7919, 0.7755, 12.6980, 20.9787, -4.8344, 0.6461, L, 2.0777, 0.0518, 0.0923, 0.5502, 0.3147
12.5106, 21.0465, -4.8136, 0.6532, 12.4436, 21.0216, -4.8800, 0.5262, R, 2.5412, 0.0519, 0.0920, 0.5485, 0.3138
12.2695, 21.0761, -4.8322, 0.5309, 12.1967, 21.0573, -4.9042, 0.4052, L, 0.1565, 0.0521, 0.0917, 0.5468, 0.3130
12.0276, 21.0996, -4.8477, 0.4088, 11.9597, 21.0771, -4.9063, 0.2548, R, 0.9143, 0.0522, 0.0915, 0.5450, 0.3122
11.7850, 21.1170, -4.8602, 0.2869, 11.7209, 21.0436, -4.8795, 0.0245, L, 1.8124, 0.0523, 0.0914, 0.5433, 0.3120
11.5418, 21.1283, -4.8697, 0.1653, 11.4758, 21.0300, -4.8710, -0.1413, R, 1.0506, 0.0524, 0.0914, 0.5416, 0.3119
11.2982, 21.1335, -4.8762, 0.0441, 11.2646, 21.0202, -4.8076, -0.2880, L, 0.6765, 0.0523, 0.0916, 0.5400, 0.3121
11.0544, 21.1327, -4.8798, -0.0766, 11.0118, 20.9815, -4.8061, -0.4739, R, 4.0819, 0.0522, 0.0920, 0.5383, 0.3127
10.8105, 21.1259, -4.8805, -0.1966, 10.8066, 20.9405, -4.7189, -0.6492, L, 0.4556, 0.0521, 0.0929, 0.5368, 0.3137
10.5666, 21.1131, -4.8784, -0.3160, 10.5588, 20.9415, -4.6965, -0.6288, R, 5.7599, 0.0519, 0.0936, 0.5354, 0.3137
10.3229, 21.0943, -4.8735, -0.4347, 10.2653, 20.9772, -4.8198, -0.6158, L, 3.5696, 0.0520, 0.0937, 0.5338, 0.3131
10.0795, 21.0697, -4.8658, -0.5525, 10.0264, 20.9586, -4.8056, -0.7041, R, 1.0022, 0.0520, 0.0939, 0.5322, 0.3123
9.8366, 21.0391, -4.8555, -0.6693, 9.8418, 20.9175, -4.6839, -0.8353, L, 1.6021, 0.0518, 0.0941, 0.5308, 0.3117
9.5942, 21.0028, -4.8426, -0.7852, 9.6083, 20.9096, -4.6460, -0.7927, R, 1.8552, 0.0517, 0.0940, 0.5294, 0.3107
9.3526, 20.9607, -4.8271, -0.9000, 9.4225, 20.8579, -4.5382, -0.9186, L, 0.8500, 0.0518, 0.0941, 0.5283, 0.3098
9.1118, 20.9128, -4.8092, -1.0136, 9.2057, 20.8132, -4.5078, -1.0365, R, 1.4904, 0.0521, 0.0941, 0.5272, 0.3089
8.8719, 20.8594, -4.7888, -1.1260, 8.8966, 20.7906, -4.6561, -1.0690, L, 2.4754, 0.0520, 0.0940, 0.5258, 0.3080
8.6331, 20.8003, -4.7661, -1.2372, 8.6868, 20.7077, -4.5831, -1.2527, R, 4.5247, 0.0520, 0.0940, 0.5244, 0.3071
8.3956, 20.7358, -4.7411, -1.3470, 8.4005, 20.6283, -4.6560, -1.3811, L, 2.8825, 0.0519, 0.0941, 0.5230, 0.3063
