x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, sensor, RMSE_x, RMSE_y, RMSE_vx, RMSE_vy
-26.2891, 1.8284, 1.3302, 4.6834, -26.3803, 1.8914, 0.7783, 4.8218, L, 0.0957, 0.0890, 0.4440, 0.4510
-26.2197, 2.0617, 1.4481, 4.6524, -26.3041, 2.1179, 1.1029, 4.7578, R, 0.0957, 0.0890, 0.4438, 0.4505
-26.1444, 2.2934, 1.5647, 4.6186, -26.2531, 2.2872, 1.0853, 4.5762, L, 0.0957, 0.0889, 0.4439, 0.4499
-26.0633, 2.5234, 1.6798, 4.5822, -26.1814, 2.5085, 1.1947, 4.5476, R, 0.0957, 0.0888, 0.4440, 0.4494
-25.9765, 2.7514, 1.7934, 4.5433, -26.1103, 2.7659, 1.2199, 4.6273, L, 0.0959, 0.0887, 0.4443, 0.4489
-25.8841, 2.9775, 1.9054, 4.5020, -26.0102, 2.9837, 1.6475, 4.5454, R, 0.0959, 0.0886, 0.4440, 0.4483
-25.7861, 3.2014, 2.0158, 4.4583, -25.9060, 3.2973, 1.7019, 4.7744, L, 0.0960, 0.0886, 0.4437, 0.4481
-25.6826, 3.4231, 2.1245, 4.4123, -25.8147, 3.5335, 1.8713, 4.7436, R, 0.0961, 0.0886, 0.4433, 0.4478
-25.5737, 3.6424, 2.2315, 4.3640, -25.7169, 3.7187, 1.8692, 4.6066, L, 0.0963, 0.0886, 0.4432, 0.4474
-25.4596, 3.8592, 2.3366, 4.3137, -25.5934, 3.9242, 2.1006, 4.5115, R, 0.0964, 0.0886, 0.4428, 0.4470
-25.3402, 4.0735, 2.4399, 4.2612, -25.5380, 4.0800, 1.9956, 4.3243, L, 0.0967, 0.0885, 0.4428, 0.4465
-25.2157, 4.2851, 2.5413, 4.2069, -25.4085, 4.2771, 2.2164, 4.2445, R, 0.0971, 0.0884, 0.4426, 0.4460
-25.0863, 4.4940, 2.6407, 4.1506, -25.2493, 4.5166, 2.3108, 4.3200, L, 0.0973, 0.0883, 0.4423, 0.4455
-24.9518, 4.7000, 2.7382, 4.0925, -25.0883, 4.7179, 2.4388, 4.2755, R, 0.0974, 0.0882, 0.4420, 0.4451
-24.8126, 4.9030, 2.8336, 4.0327, -24.9805, 4.9100, 2.4080, 4.2174, L, 0.0976, 0.0880, 0.4420, 0.4446
-24.6686, 5.1030, 2.9270, 3.9713, -24.8146, 5.1064, 2.6547, 4.1471, R, 0.0978, 0.0879, 0.4417, 0.4442
-24.5201, 5.2999, 3.0183, 3.9084, -24.6493, 5.3382, 2.7207, 4.2144, L, 0.0978, 0.0879, 0.4414, 0.4439
-24.3670, 5.4937, 3.1075, 3.8440, -24.4687, 5.5253, 3.0830, 4.0879, R, 0.0979, 0.0878, 0.4409, 0.4436
-24.2095, 5.6841, 3.1946, 3.7783, -24.2864, 5.6946, 3.1259, 3.9997, L, 0.0978, 0.0877, 0.4404, 0.4432
-24.0477, 5.8713, 3.2796, 3.7113, -24.1141, 5.8592, 3.3595, 3.8528, R, 0.0978, 0.0876, 0.4399, 0.4427
-23.8818, 6.0551, 3.3624, 3.6431, -23.9470, 6.0118, 3.3469, 3.7484, L, 0.0977, 0.0875, 0.4394, 0.4422
